#,table,category,field_name,field_type,dropdown_id,on_c01985_screen,airtable_field_id
154,Case,Umpire Selection & Docs,U/P Served Date,date,,yes,fldb5BP4eIV1dlGMu
155,Case,Umpire Selection & Docs,Umpire Hearing Date,date,,yes,fldiaqeaA52SH9spH
156,Case,Appraisal Award & Closing Package,Appraisal Closing Package,file,,yes,fldyqFSshJqX0pemi
157,Case,Appraisal Award & Closing Package,Appraisal Closing Package Complete,checkbox,,yes,fldDzkbI0e40Ua6VC
158,Case,Building Consultant Docs,Notes for Build. Consult. Review,long text,,yes,fldAkXhUDMWN71b2K
159,Case,Building Consultant Docs,Build. Consult. Response Notes,long text,,yes,fldqK2bqliS6HbrQ4
160,Case,Building Consultant Docs,Docs for Build. Consult. Review,file,,yes,fldAnkXdUqxbMJ5DQ
161,Case,Building Consultant Docs,Building Consultant Package,file,,yes,fldL3iX1sxYLrnbS3
162,Case,Building Consultant Docs,Building Consultant,link to record,,yes,fldAvWDxKCfzKEQCd
163,Case,Building Consultant Docs,Building Consultant - Portal Access,link to record,,yes,fldgn3OtaZjuhRV1t
164,Case,Building Consultant Docs,Building Cons. Firm Request,dropdown,D24,yes,fldW59OCtb6Fzz5pv
165,Case,Building Consultant Docs,Building Cons. Next Steps,dropdown,D25,yes,fldeeiETOtcOVlNWz
166,Case,Building Consultant Docs,Building Consult. Package Complete,checkbox,,yes,fld9BbK52ZR1hwZgS
167,Case,Re-Inspection Details,Reinspection Notes,long text,,yes,fldGt4WM0npi5uSOs
168,Case,Re-Inspection Details,🔵 Reinspection Docs,file,,yes,fld4kwEu2tG7P0DFR
169,Case,Re-Inspection Details,Reinspection Scheduled Date,date/time,,yes,fldFpenlDCyetA7aI
170,Case,Re-Inspection Details,Reinspection Completed,checkbox,,yes,fldE4gORojZSlrpNZ
171,Case,EUO Details,EUO Docs,file,,yes,fldbSu6Y0dF2RU0Xp
172,Case,EUO Details,EUO Date,date/time,,yes,fldGFp6sNqDjEBSwK
173,Case,EUO Details,EUO Location,dropdown,D26,yes,fldw7LCqnl8FJwEkX
174,Case,Expert Details & Docs,Notes for Experts Review,rich text,,yes,fld6SWfu0zWTMkgr1
175,Case,Expert Details & Docs,Expert Response Notes,rich text,,yes,fldX5UmYNRcCmFlnH
176,Case,Expert Details & Docs,Docs for Expert Review,file,,yes,fld5Rm8dyCv8CzNyc
177,Case,Expert Details & Docs,Experts Finished Reports,file,,yes,fldP4xOxDdpGOhmFS
178,Case,Expert Details & Docs,Experts Saved Reports,file,,yes,fldVknBjYfnhr105G
179,Case,Expert Details & Docs,Selected Engineer/Experts,link to record,,yes,fldgOc346I53WkpTO
180,Case,Expert Details & Docs,Engineer/Experts - Portal Access,link to record,,yes,fldHxDZGtkC8Uxvst
181,Case,Expert Details & Docs,Expert Firm Request,dropdown,D27,yes,fldpENqBDxV2VCNaf
182,Case,Expert Details & Docs,Expert Next Steps,dropdown,D28,yes,fldjBdtLQQqiwNFbr
183,Case,Expert Details & Docs,Experts Identified Doc,url,,yes,fldCBjBthVQvMYn3E
184,Case,Expert Details & Docs,Expert Report Complete,checkbox,,yes,fldyN9boKpFuvAjhl
185,Case,Claim Analysis & Support,Cat 4 Notes,rich text,,yes,fld9w3JKcQ6OM8sod
186,Case,Claim Analysis & Support,Claim Summary,file,,yes,fld6IJ6DJWO4bNVHK
187,Case,Claim Analysis & Support,Claim Justification Reports,file,,yes,fldM9rZIhzBG1l88R
188,Case,Summons & Complaint Details,🔵 Summons,file,,yes,fldumaprPxpu7DGyj
189,Case,Summons & Complaint Details,🔵 Complaint,file,,yes,fldVLZFHhp8eBZaXL
190,Case,Summons & Complaint Details,🔵 S/C Served,file,,yes,fldpMn7uKE8zblqLN
191,Case,Summons & Complaint Details,Litigation Consent,checkbox,,yes,fldU7qwRsXHpMafMP
192,Case,Summons & Complaint Details,County,dropdown,D29,yes,fld4gsbPFzqJhtMCU
193,Case,Summons & Complaint Details,S/C Approved,checkbox,,yes,fldhdlT8XD0Sdhkhn
194,Case,Summons & Complaint Details,S/C - Mailed or E-Filed,date,,yes,fldJBqxvngYB9oywg
195,Case,Summons & Complaint Details,S/C sent for Service,date,,yes,fldGjtjCQgvODPuCY
196,Case,Summons & Complaint Details,S/C Served Date,date,,yes,fld0ZhBH9gypKBqC9
197,Case,Answer,Answer,file,,yes,fld65ycnWeVh6tU1W
198,Case,Answer,Answer Due Date,date,,yes,fldpZz5oyBGpO81cy
199,Case,Discovery to Defendant,🔵 Discovery to Defendant,file,,yes,fldm0x5WmEW2ruFaP
200,Case,Discovery to Defendant,Discovery to Def Due Date,date,,yes,fld0hb8My3dJCylos
201,Case,Discovery from Defendant,🔵 Discovery from Defendant,file,,yes,fldwrA73a378EFFPd
202,Case,Discovery from Defendant,Discovery from Def Due Date,date,,yes,fldbHCpK5YKsyuwtj
203,Case,Default,🔵 Default Docs,file,,yes,fldX75qsOUEhlW5AM
204,Case,Depositions,🔵 Deposition Docs,file,,yes,fldf4an7eD1reXpRE
205,Case,Depositions,Deposition Date,date/time,,yes,fld8yLGuSnq4RVuQE
206,Case,Depositions,Deposition Location,dropdown,D30,yes,fldYOEjxme9mKGyFc
207,Case,Depositions,Deposition Meeting Link,url,,yes,fldbxZI3EkVFUf96x
208,Case,Subpoenas,🔵 Subpoena Docs,file,,yes,fldSxF0IH3jmebRAS
209,Case,Subpoenas,Subpoena Docs Due,date/time,,yes,fldfzOjmg5VUUe1j9
210,Case,Motions,🔵 Motions,file,,yes,fldEOPKjvTB6IXgO1
211,Case,Motions,Motions Hearing Date,date/time,,yes,flduGUP1Yff85Ugwf
212,Case,Motions,Motions Location,dropdown,D31,yes,fldhAU5kgYBVKY81C
213,Case,Mediation,🔵 Mediation Docs,file,,yes,fldRM0fjgd606o0A7
214,Case,Mediation,Mediation Date,date/time,,yes,fldnre9ZE41pE4tv9
215,Case,Mediation,Mediation Deadline Date,date/time,,yes,fldoZZpfumhRokpP5
216,Case,Mediation,Mediation Location,dropdown,D32,yes,fldx5E8mocQcsvmjm
217,Case,Mediation,Selected Mediator,dropdown,D33,yes,fld51WQnRV3wNLOcR
218,Case,Trial,Trial Date,date/time,,yes,fldX8LFW5aX05PH1A
219,Case,"Appeals, Dismissals, and Refiling Deadlines",🔵 Appeal,file,,yes,fldLBH6eqmwA3M1Lc
220,Case,"Appeals, Dismissals, and Refiling Deadlines",🔵 Voluntary Dismissal,file,,yes,fldodsYrOpxevOrJz
221,Case,"Appeals, Dismissals, and Refiling Deadlines",VD Filing Date,date,,yes,fldbY30JQDflRj8WC
222,Case,"Appeals, Dismissals, and Refiling Deadlines",Refiling Deadline,formula,,yes,fldpZphZS2qs7H4Ud
223,Case,Litigation Docs,🔵 Litigation Documents,file,,yes,fldrHQqOq5k73Aoiq
224,Case,Litigation Docs,Prior Counsel Litigation Documents,file,,yes,fldwzBTmk6hA0XO4O
225,Case,Litigation Fees & Invoices,CLG Legal Fee %,dropdown,D34,yes,fld8rEsqO75cToCTe
226,Case,Litigation Fees & Invoices,Litigation Invoices,file,,yes,fld9Fj7Dl4kO3djIC
227,Case,Litigation Fees & Invoices,Filing Costs,money,,yes,fldORbN8JRlhMUDL2
228,Case,Litigation Fees & Invoices,DOI Service Costs,money,,yes,fldsl9gvkSgKeSqkF
229,Case,Litigation Fees & Invoices,Motion Costs,money,,yes,fld4bZ98ImKGYrMx6
230,Case,Litigation Fees & Invoices,Weather Report Costs,money,,yes,fldyeWOX95pcRDYud
231,Case,Litigation Fees & Invoices,Appraiser Costs,money,,yes,fld41dy1exZ3E6byh
232,Case,Litigation Fees & Invoices,Building Consultant Costs,money,,yes,fldwZJbyA4JmEhsuw
233,Case,Litigation Fees & Invoices,Certified Mailing,money,,yes,fldDSaksVPCwx5bly
234,Case,Litigation Fees & Invoices,Deposition Costs,money,,yes,fld7uj61bFkkscZB8
235,Case,Litigation Fees & Invoices,Mediation Costs,money,,yes,fldR3ofpA1V8dly0P
236,Case,Litigation Fees & Invoices,Expert Costs,money,,yes,fldtpgcsTEDcE5zWQ
237,Case,Litigation Fees & Invoices,Umpire Costs,money,,yes,fldApQmk0hsYjLps3
238,Case,Settlement Docs & Disengagement,🔵 Settlement Release,file,,yes,fld5zguf1P1JmXkwL
239,Case,Settlement Docs & Disengagement,🔵 Full and Final Release,file,,yes,fldd5tEGAIUXnA22R
240,Case,Settlement Docs & Disengagement,Certificate of Completion,file,,yes,fld0W0qbw0i3AeVUz
241,Case,Settlement Docs & Disengagement,🔵 Insurance Checks,file,,yes,fld2bYZYdJBJISFS0
242,Case,Settlement Docs & Disengagement,Disengagement Letter,file,,yes,fldU5fpIQeK8ut0n1
243,Case,Settlement Docs & Disengagement,Reason for Disengagement,rich text,,yes,fldGf94q874bJPplb
244,Case,Settlement Docs & Disengagement,CLG - Settlement Statement,url,,yes,fldi7DRr2jyFXK25H
245,Case,Settlement Docs & Disengagement,Settled Date,date,,yes,fldX7x5qadfouQs8V
246,Case,Settlement Docs & Disengagement,Global Settlement Amount,money,,yes,fldsLEHZErQdTDpyn
247,Case,Settlement Docs & Disengagement,Litigation Increase,money,,yes,fldhVZNTAZ4JQqlcM
248,Case,Settlement Docs & Disengagement,Outstanding Funds,money,,yes,fldiAY3cnDqpJ3dDa
249,Case,Settlement Docs & Disengagement,% RP Estimate,formula,,yes,fldIvUxwFL7pTfY62
250,Case,Settlement Docs & Disengagement,Release/COC Sent to IC,date,,yes,fldcqhTywhUSq18eY
251,Case,Referral Partner,RP Claims Contact,rich text,,yes,fldipuWgo6j7awtEG
252,Case,Referral Partner,Referral Partner,link to record,,yes,fld9JAESdqYXE6CPS
253,Case,Referral Partner,Referred Original Case,link to record,,yes,fld6l2h7Hu9DEQmDE
254,Case,Portal Access,Referred Firm - Portal Access,link to record,,yes,fldSkUNoSQwWzACmi
255,Case,Portal Access,Associate Counsel - Portal Access,link to record,,yes,fld6lUBUOWGZfPt8U
256,Case,Portal Access,Referral Partner - Portal Access,link to record,,yes,fldH42pWcx8W88ynA
257,Case,Conveyor Activity Log,Conveyor Activity Log,rich text,,yes,fldbtbAR2tg2BrCsz
258,Case,Conveyor Drafts,Drafts,file,,yes,fldJmSrgwt0wDSDk4
259,Case,hidden on C-01985 screen,CID Due Date,date,,no,fldCNfy6MrBUtpwcN
260,Case,hidden on C-01985 screen,Attorney Rep'd,checkbox,,no,fldBWVPvY71CuybiV
261,Case,hidden on C-01985 screen,Squares,number,,no,fldySKVZz7BS8koUb
262,Case,hidden on C-01985 screen,Demand Letter (Editable),url,,no,fldLyxksiPsfVMV9Q
263,Case,hidden on C-01985 screen,🔵 Demand Package,file,,no,fldYmlbEM66t0yR1A
264,Case,hidden on C-01985 screen,Referral Email Rec'd,checkbox,,no,fldJmhnAwt2JPxYcy
265,Case,hidden on C-01985 screen,Create Time,created time,,no,fldxWGRRezlV6XiwQ
266,Case,hidden on C-01985 screen,Case Documents,url,,no,fldrExWrToq4cWzZQ
267,Case,hidden on C-01985 screen,Referral Case ID,long text,,no,fld5Ji3sZlWAMZx0p
268,Case,hidden on C-01985 screen,Autonum,auto number,,no,fldmUX5na6CIdPTWG
269,Case,hidden on C-01985 screen,RP Next Steps,multi dropdown,D35,no,flduJh6HOkAV10LUv
270,Case,hidden on C-01985 screen,Case ID,formula,,no,fld4o6nwMKUilIjr6
271,Case,hidden on C-01985 screen,Last Modified,last modified time,,no,fldCjfTIANWqYQnQV
272,Case,hidden on C-01985 screen,Last Modified By,last modified by,,no,fldPlH1Bb8v9ZuTj6
273,Case,hidden on C-01985 screen,Invoices,link to record,,no,fldFZJTA66Bn9JZmQ
274,Case,hidden on C-01985 screen,Create Invoice,checkbox,,no,fldSAz1mMrCIZwBde
275,Case,hidden on C-01985 screen,Emails,link to record,,no,fldE2ZBCbuSi8PRh7
276,Case,hidden on C-01985 screen,Case Status Sort,sort,,no,fldKhbFuUPKWT1eKw
277,Case,hidden on C-01985 screen,❌ Temp Case Docs,checkbox,,no,fldBKE7u2H2Q6pAmL
278,Case,hidden on C-01985 screen,Counsel Legal Name,lookup,,no,fldoydt6vbYbPpnNP
279,Case,hidden on C-01985 screen,Created By,created by,,no,fld6jDS9xcSH2q8Ai
280,Case,hidden on C-01985 screen,Mediation Paid,checkbox,,no,fldEo6m8X8HDSyiAa
